ID,FECHA,HORA,NOMBRE_USUARIO
27935869402786,1/6/2012,300273754,twlX5m1wT1
27935870946845,27/6/2008,1167990437,SgarI2cOQm
27935871913803,22/5/2016,1776343340,0c2VMMf6wD
27935873026765,14/2/2007,222968617,Y9adRLuaCd
27935874118979,10/10/2002,1999454422,coNeS4mQpY
27935874757043,14/7/2013,781194170,6fGVuNDwKm
27935875243980,10/6/2010,822859686,h7iP_qzguj
27935876694545,25/7/2005,719250022,IU5u_tWudU
27935877650233,18/1/2008,1697078000,v_jkLyQlVe
27935878241422,25/8/2015,2066035154,Pnz2VvQ_VG
27935879119497,20/11/2007,583336077,fv_rBDT8aC
27935880025491,8/7/2002,1693661567,hNP1xpYb2X
27935880968884,20/6/2014,1118619662,IkPEqgUePc
27935882021651,21/10/2000,2009916056,CQhYrZ9CPZ
27935882964787,27/3/2003,1174470492,OAW7SVUxAB
27935884946603,22/2/2009,623407670,4ltfekV1V1
27935886160231,18/11/2010,1112453901,k3ixoJOwst
27935887058285,19/3/2006,370100910,SRy7lS8vzU
27935887904598,21/3/2007,1456630141,StsACfBrQB
27935888376934,11/5/2005,586228807,63Ex1_W9L4
27935889544456,9/12/2004,1919296641,EsHZr7LnKB
27935889978114,6/5/2004,283654923,LvcoBR64sx
27935890390512,17/9/2002,2134412761,PDO3xRzSGW
27935890781138,9/8/2007,433065882,EygrIF_irC
27935891157419,13/4/2007,2109069669,Q28xz1GUxe
27935891555472,8/11/2001,841248698,NkFdGpR9Uh
27935891980165,21/5/2007,263761942,UubNxPzZSM
27935892399736,6/4/2001,899245939,oUJN9xN_MV
27935892788312,5/6/2001,1957072802,MfhAHdrX11
27935893241693,23/3/2003,1281307894,NIglEaqASk
27935893644614,26/3/2007,1691157515,mQH87VP3ev
27935894151530,3/12/2000,1550090164,ce6qrdgg_f
27935894710701,23/12/2003,1214832236,Q9JquzM82L
27935895155374,5/10/2000,1778553023,PODN9UTro9
27935895616440,19/4/2013,1507290634,G53wLIqOeN
27935896035241,10/9/2001,1200851709,wtDcFNK0C4
27935896504248,25/12/2000,1651619643,ALlgXJeB7V
27935897022947,21/8/2010,326279881,kig5pBagWZ
27935897646155,25/8/2008,1636936764,jQWfmY3aQF
27935898081862,12/4/2007,602297909,TFvCMV53Zo
27935910688176,3/7/2005,1054531600,QpxiCYpa18
27935911427675,19/2/2012,139666492,WQKW5smDRd
27935911941764,16/5/2002,721229795,qJnSEUF51p
27935912413844,23/11/2001,1400204529,92bSotPWbP
27935912890279,4/8/2001,2128518041,8hJjY1oUhG
27935913446888,24/7/2010,1601695745,NGZxZ_u4JU
27935913960465,6/9/2002,2115383995,TFwufDiIfD
27935914451756,11/8/2014,1043260307,qqNN1UY0Vn
27935914894892,5/4/2012,788470704,P1Dst2kD9g
27935915287566,23/1/2015,265799171,is3iUVckRZ
27935915905651,15/11/2015,1033942217,lBHbVDg3Xb
27935916676912,9/11/2014,603272682,B_zWmLEZnJ
27935917514259,7/8/2013,1296273003,uf4Sx55gbg
27935918329834,25/10/2009,1851153921,fPPE6gvx7R
27935918934855,24/1/2009,1313794926,_tUFyXe6_w
27935919436649,16/2/2009,1574167895,UQZtzbdSa9
27935920183832,3/9/2015,2110619245,uFg1V_l_Vz
27935920882347,17/12/2011,222765033,g_8RdFKdkb
27935921564981,23/3/2001,576839583,iE7MvALdt2
27935922263752,17/10/2010,531003846,QxyRxZKoY5
27935923777073,25/2/2015,2126248037,SoprgfnIIy
27935924164112,12/11/2013,417599194,wFLVCh2atn
27935924638754,27/12/2014,1257914735,b3_hFAVnJm
27935925106992,21/11/2016,1049712805,DgBkm_OhMl
27935925663089,5/12/2016,426441645,oIj7dGYtVu
27935926130303,20/3/2008,425783034,Kx0PiMLU__
27935926515805,6/6/2015,1539635483,PiND2nZAND
27935926941523,4/7/2000,1669755260,oxTSo3S6QK
27935927679485,19/1/2008,1561097506,MYW389Hz9w
27935928568062,25/9/2016,643024255,gEivcESwV9
27935929489425,17/10/2007,1165970679,1bRtmiskRz
27935930194600,4/4/2004,933907937,pYhLw018Cm
27935930771701,3/6/2011,1567307617,NJAjBsrPbE
27935931494550,14/10/2000,1108747107,E0Xcu7Hnft
27935932199981,11/11/2007,242089167,DVydUyPIFM
27935932768629,16/8/2003,655576151,uonVKnEPvs
27935933164890,2/2/2009,1376642896,QeCYSvP5qe
27935933800137,7/8/2000,966705960,c8J_cMUsUE
27935934460486,19/2/2004,1875113019,6El1E6beBa
27935935180517,26/7/2000,334591774,Oh6jTpsdzo
27935950546312,24/8/2009,494085232,MFNWuhYT7k
27935950904406,27/5/2008,1014581406,fmw_qPhduV
27935951271210,7/7/2015,1960783218,oxaGZKt_Rj
27935951615472,12/6/2012,1503551590,wagWtxv2EB
27935952007891,15/6/2008,895064127,kuNOyYZjwM
27935952360094,12/6/2003,900631461,j3UGZl771Q
27935952704869,11/6/2005,432812780,oVEHqamuiD
27935953167472,16/8/2013,71593445,eWj53ws9MJ
27935953548876,21/9/2015,1718088984,ZbeHjpISEA
27935953922852,17/1/2015,1295034139,uQoLm7YQ6W
27935954274031,25/1/2002,1902970591,9nfei3Ceqb
27935954612146,27/3/2016,2113696257,50RQ1ifYbq
27935954971521,18/11/2003,399822353,a24SNzN3bR
27935955331153,14/9/2003,1234879734,72PhHt9ECd
27935955806051,12/4/2013,1783671542,NnFpO4G6Pd
27935956276850,18/10/2008,778767695,tfzeRODJ0J
27935956679258,10/1/2002,2117723891,2D4GF_OJbw
27935957068859,4/11/2013,875921061,Qf_S1C3vKW
27935957482026,4/2/2010,157150474,WhNL8hVmYR
27935957998420,26/9/2012,897337834,LxUVa9HS5Z
27935959490481,6/5/2016,1763300592,HOykQ5IzNG
27935960156721,4/3/2007,713855676,qIGt9Dc0Q_
27935960858054,4/12/2009,940253161,IFkGr0nMod
27935961572450,17/2/2001,30801396,EIIUegbU7T
27935962318096,1/12/2001,2103324261,lFhg1kFZUn
27935963003804,17/6/2005,1327065421,UMq7SbCH6s
27935963638794,14/7/2010,1247410685,odR5mPRvg7
27935964210772,13/6/2014,425280982,5aK9xUZmLU
27935964659799,9/12/2012,524548453,8p1cs27K3g
27935965259185,14/5/2011,28761708,kkROaujPDJ
27935965662362,9/5/2013,309441348,cAwEbkAoGz
27935966040436,9/2/2015,363248958,bdbwUC6ehQ
27935966491768,9/11/2011,741299622,nKErc8dqLW
27935967360622,8/4/2004,768506039,qk_yv6yioU
27935968275838,1/7/2009,1398255339,yGcoTkiNo3
27935969055040,21/7/2010,279311976,kaZw6UyTbi
27935969577581,14/2/2008,1985415212,LGp5mFlEZ0
27935970018924,9/6/2012,2055126811,f33KnKD7lT
27935970389057,3/2/2015,458549310,q_B409qELR
27935970899816,1/1/2009,202668582,VXKZvQgNOJ
27935984590916,13/2/2011,1474919817,nYh6OuRzcE
27935984977187,10/10/2004,992291893,z9tsEYZVuF
27935985320937,2/3/2011,1027962603,88dJs344BV
27935985729237,19/7/2008,287242467,VpLyzVgQ9I
27935986085026,21/1/2000,107833353,d5XaM8uW8d
27935986449268,9/11/2002,1689618922,9RdjKxtetj
27935986864740,16/6/2005,550687250,gMPje9DI6Q
27935987274833,2/2/2012,1314891681,DavGqXLgGO
27935987737180,14/8/2014,231166765,7A1ZlflhSw
27935988138563,8/3/2003,863016043,yhSnJamASW
27935988550705,18/4/2005,2081415083,2SC5xpdIbl
27935988936720,23/1/2016,1439712300,aod3Ebg9vO
27935989286874,17/7/2007,362936629,MfiIO2Eo7R
27935989687489,7/3/2005,1537053809,YXdQwDWyVf
27935990031495,19/4/2006,1896539959,nESoQzGP0v
27935990438514,23/9/2008,238715977,z7rwonZKk5
27935991075298,5/4/2005,906030664,NwezIhi1ym
27935991507419,16/3/2007,809659560,Q1EHKhHACY
27935991885749,23/7/2003,614369672,z7DfdMjbPQ
27935992243076,11/9/2016,1776957388,yQDJz8URCk
27935993206960,1/12/2007,829346575,AUapjcJIVX
27935993608087,12/1/2006,539989553,e8e2ZHJNwL
27935994193129,17/2/2011,1948289749,D4UpBmLdFb
27935994817361,24/10/2002,904648723,G7ve4KNW5V
27935995453632,10/8/2010,1757911391,wygFcbDwXj
27935996036625,3/5/2016,2047353378,uBJL2t2BBe
27935996658295,13/1/2001,1144465780,nKnp9JW9Oa
27935997325560,13/12/2016,383180241,iyxeTQdAQa
27935997947487,5/1/2005,9953442,WST06KeqbE
27935998562242,9/6/2009,1651059382,9alxUoXoSS
27935999175972,3/6/2000,375969551,v825TtK64H
27935999756659,12/4/2014,912054096,hG0nscqBG2
